,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Day 21,7,7,7,7,16,16,16,16,48,48,48,48,80,80,80,80,53,53,53,53,38,38,38,38,26,26,26,26,63,63,63,63,77,77,77,77,40,40,40,40,30,30,30,30,43,43,43,43,48,48,48,48,67,67,67,67,61,61,61,61,52,52,52,52,26,26,26,26,9,9,9,9
Day 22,15,15,15,15,19,19,19,19,54,54,54,54,66,66,66,66,60,60,60,60,36,36,36,36,26,26,26,26,87,87,87,87,68,68,68,68,81,81,81,81,22,22,22,22,37,37,37,37,77,77,77,77,69,69,69,69,55,55,55,55,21,21,21,21,13,13,13,13,6,6,6,6
Day 23,17,17,17,17,8,8,8,8,21,21,21,21,71,71,71,71,45,45,45,45,41,41,41,41,30,30,30,30,61,61,61,61,98,98,98,98,61,61,61,61,36,36,36,36,22,22,22,22,73,73,73,73,50,50,50,50,73,73,73,73,35,35,35,35,12,12,12,12,4,4,4,4
Day 24,4,4,4,4,10,10,10,10,45,45,45,45,109,109,109,109,31,31,31,31,40,40,40,40,38,38,38,38,41,41,41,41,77,77,77,77,50,50,50,50,22,22,22,22,69,69,69,69,115,115,115,115,52,52,52,52,57,57,57,57,69,69,69,69,36,36,36,36,7,7,7,7
Day 25,4,4,4,4,8,8,8,8,78,78,78,78,45,45,45,45,66,66,66,66,47,47,47,47,19,19,19,19,62,62,62,62,50,50,50,50,44,44,44,44,43,43,43,43,16,16,16,16,63,63,63,63,89,89,89,89,71,71,71,71,31,31,31,31,29,29,29,29,8,8,8,8
Day 26,11,11,11,11,6,6,6,6,57,57,57,57,50,50,50,50,42,42,42,42,29,29,29,29,23,23,23,23,51,51,51,51,76,76,76,76,32,32,32,32,44,44,44,44,55,55,55,55,78,78,78,78,78,78,78,78,46,46,46,46,28,28,28,28,31,31,31,31,33,33,33,33
Day 27,11,11,11,11,10,10,10,10,48,48,48,48,72,72,72,72,48,48,48,48,21,21,21,21,21,21,21,21,57,57,57,57,86,86,86,86,34,34,34,34,24,24,24,24,27,27,27,27,43,43,43,43,68,68,68,68,68,68,68,68,47,47,47,47,17,17,17,17,10,10,10,10
Day 28,22,22,22,22,10,10,10,10,22,22,22,22,64,64,64,64,59,59,59,59,18,18,18,18,22,22,22,22,34,34,34,34,70,70,70,70,49,49,49,49,61,61,61,61,50,50,50,50,71,71,71,71,62,62,62,62,44,44,44,44,18,18,18,18,37,37,37,37,17,17,17,17
Day 29,5,5,5,5,4,4,4,4,57,57,57,57,103,103,103,103,81,81,81,81,27,27,27,27,13,13,13,13,51,51,51,51,83,83,83,83,48,48,48,48,30,30,30,30,58,58,58,58,39,39,39,39,74,74,74,74,33,33,33,33,46,46,46,46,60,60,60,60,4,4,4,4
Day 30,4,4,4,4,14,14,14,14,32,32,32,32,86,86,86,86,50,50,50,50,53,53,53,53,18,18,18,18,43,43,43,43,82,82,82,82,51,51,51,51,21,21,21,21,67,67,67,67,63,63,63,63,96,96,96,96,26,26,26,26,50,50,50,50,29,29,29,29,4,4,4,4
Day 31,4,4,4,4,28,28,28,28,42,42,42,42,65,65,65,65,75,75,75,75,57,57,57,57,14,14,14,14,43,43,43,43,64,64,64,64,37,37,37,37,23,23,23,23,47,47,47,47,60,60,60,60,56,56,56,56,34,34,34,34,40,40,40,40,27,27,27,27,6,6,6,6
Day 32,4,4,4,4,14,14,14,14,34,34,34,34,69,69,69,69,26,26,26,26,39,39,39,39,21,21,21,21,38,38,38,38,76,76,76,76,45,45,45,45,35,35,35,35,54,54,54,54,66,66,66,66,92,92,92,92,59,59,59,59,52,52,52,52,30,30,30,30,16,16,16,16
Day 33,4,4,4,4,13,13,13,13,77,77,77,77,75,75,75,75,67,67,67,67,22,22,22,22,17,17,17,17,70,70,70,70,38,38,38,38,68,68,68,68,28,28,28,28,37,37,37,37,73,73,73,73,53,53,53,53,63,63,63,63,41,41,41,41,22,22,22,22,6,6,6,6
Day 34,5,5,5,5,12,12,12,12,36,36,36,36,74,74,74,74,105,105,105,105,54,54,54,54,21,21,21,21,49,49,49,49,97,97,97,97,49,49,49,49,23,23,23,23,47,47,47,47,82,82,82,82,46,46,46,46,64,64,64,64,29,29,29,29,22,22,22,22,19,19,19,19
Day 35,9,9,9,9,11,11,11,11,52,52,52,52,37,37,37,37,79,79,79,79,81,81,81,81,24,24,24,24,92,92,92,92,76,76,76,76,66,66,66,66,68,68,68,68,49,49,49,49,32,32,32,32,54,54,54,54,50,50,50,50,70,70,70,70,57,57,57,57,6,6,6,6
